geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,treatment_protocol_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
GSM3496295,AB2099,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 46,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2099,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500444,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496295/suppl/GSM3496295_AB2099.txt.gz,GSE123139,0
GSM3496296,AB2100,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 31,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2100,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500443,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496296/suppl/GSM3496296_AB2100.txt.gz,GSE123139,0
GSM3496297,AB2101,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 32,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2101,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500441,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496297/suppl/GSM3496297_AB2101.txt.gz,GSE123139,0
GSM3496298,AB2102,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 38,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2102,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500440,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496298/suppl/GSM3496298_AB2102.txt.gz,GSE123139,0
GSM3496299,AB2103,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 33,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2103,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500438,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496299/suppl/GSM3496299_AB2103.txt.gz,GSE123139,0
GSM3496300,AB2104,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 39,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2104,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500436,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496300/suppl/GSM3496300_AB2104.txt.gz,GSE123139,0
GSM3496301,AB2105,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 24,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2105,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500434,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496301/suppl/GSM3496301_AB2105.txt.gz,GSE123139,0
GSM3496302,AB2106,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 34,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2106,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500433,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496302/suppl/GSM3496302_AB2106.txt.gz,GSE123139,0
GSM3496303,AB2107,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 40,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2107,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500431,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496303/suppl/GSM3496303_AB2107.txt.gz,GSE123139,0
GSM3496304,AB2108,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 41,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2108,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500430,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496304/suppl/GSM3496304_AB2108.txt.gz,GSE123139,0
GSM3496305,AB2491,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 95,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2491,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500428,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496305/suppl/GSM3496305_AB2491.txt.gz,GSE123139,0
GSM3496306,AB2492,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 96,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2492,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500427,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496306/suppl/GSM3496306_AB2492.txt.gz,GSE123139,0
GSM3496307,AB2493,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 97,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2493,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500425,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496307/suppl/GSM3496307_AB2493.txt.gz,GSE123139,0
GSM3496308,AB2494,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 98,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2494,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500424,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496308/suppl/GSM3496308_AB2494.txt.gz,GSE123139,0
GSM3496309,AB2495,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 99,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2495,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500473,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496309/suppl/GSM3496309_AB2495.txt.gz,GSE123139,0
GSM3496310,AB2496,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 100,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2496,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500472,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496310/suppl/GSM3496310_AB2496.txt.gz,GSE123139,0
GSM3496311,AB2497,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 102,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2497,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500470,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496311/suppl/GSM3496311_AB2497.txt.gz,GSE123139,0
GSM3496312,AB2498,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 103,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2498,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500469,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496312/suppl/GSM3496312_AB2498.txt.gz,GSE123139,0
GSM3496313,AB2499,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 104,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2499,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500468,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496313/suppl/GSM3496313_AB2499.txt.gz,GSE123139,0
GSM3496314,AB2500,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 105,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2500,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500467,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496314/suppl/GSM3496314_AB2500.txt.gz,GSE123139,0
GSM3496315,AB2501,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 106,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2501,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500466,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496315/suppl/GSM3496315_AB2501.txt.gz,GSE123139,0
GSM3496316,AB2502,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 108,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2502,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500465,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496316/suppl/GSM3496316_AB2502.txt.gz,GSE123139,0
GSM3496317,AB2503,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 109,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2503,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500463,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496317/suppl/GSM3496317_AB2503.txt.gz,GSE123139,0
GSM3496318,AB2504,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 68,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2504,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500462,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496318/suppl/GSM3496318_AB2504.txt.gz,GSE123139,0
GSM3496319,AB2505,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 69,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2505,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500461,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496319/suppl/GSM3496319_AB2505.txt.gz,GSE123139,0
GSM3496320,AB2506,Public on Dec 27 2018,Nov 29 2018,Dec 27 2018,SRA,1,Immune cells sorted from melanoma tumors,Homo sapiens,9606,plate id: 70,All samples were dissected from patients and digested into single cell suspension,polyA RNA,Cells were digested to form a single cell suspension and FACS sorted into capture plates,Amp batch AB2506,bcl2fastq/2.15.0.4,GPL18573,"Yaniv,,Lubling",yaniv.lubling@weizmann.ac.il,Weizmann Institute of Science,POB 26,Rehovot,76100,Israel,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10500459,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3496nnn/GSM3496320/suppl/GSM3496320_AB2506.txt.gz,GSE123139,0
