geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,supplementary_file_2,series_id,data_row_count
GSM4743200,PACA.P20181121,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,PACA,Homo sapiens,9606,tissue: Tumor,polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892811,NONE,GSE156728,0,
GSM4743201,PACA.P20181128,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,PACA,Homo sapiens,9606,tissue: Tumor,polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892810,NONE,GSE156728,0,
GSM4743202,PACA.P20190225,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,PACA,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892809,NONE,GSE156728,0,
GSM4743203,PACA.P20190306,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,PACA,Homo sapiens,9606,tissue: Tumor,polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892808,NONE,GSE156728,0,
GSM4743204,PACA.P20190515,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,PACA,Homo sapiens,9606,tissue: Tumor,polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892807,NONE,GSE156728,0,
GSM4743205,PACA.P20190909,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,PACA,Homo sapiens,9606,tissue: Tumor,polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892806,NONE,GSE156728,0,
GSM4743206,RC.P20181217,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,RC,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892805,NONE,GSE156728,0,
GSM4743207,RC.P20181224,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,RC,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892804,NONE,GSE156728,0,
GSM4743208,RC.P20190918,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,RC,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892803,NONE,GSE156728,0,
GSM4743209,RC.P20190919,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,RC,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892802,NONE,GSE156728,0,
GSM4743210,RC.P20190923,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,RC,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892801,NONE,GSE156728,0,
GSM4743211,RC.P20190925,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,RC,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892800,NONE,GSE156728,0,
GSM4743212,THCA.P20181226,Public on Dec 16 2021,Aug 24 2020,Dec 16 2021,SRA,1,THCA,Homo sapiens,9606,"tissue: Tumor, Adjacent-normal",polyA RNA,"Tumors and adjacent normal tissues were cut into approximately 1-2 mm3 pieces in the RPMI-1640 medium (Gibco) with 10% fetal bovine serum (FBS, Gibco), and enzymatically digested with gentleMACS (Miltenyi) for 60 min on a rotor at 37°C, according to manufacturer’s instruction. The dissociated cells were subsequently passed through a 100 µm SmartStrainer and centrifuged at 400 g for 5 min. After the supernatant was removed, the pelleted cells were suspended in red blood cell lysis buffer (TIANDZ) and incubated on ice for 1-2 min to lyse red blood cells. After washing twice with 1× PBS (Gibco), the cell pellets were re-suspended in sorting buffer (PBS supplemented with 1% FBS).",processed data file:,"For 10X data, Cell Ranger 3.0.0 was used to quantify gene expression level and to identify TCR sequences.",GPL20795,"Shishang,,Qin",qinshishang@pku.edu.cn,Peking university,"No.5 Yiheyuan Road, Haidian District",Beijing,100000,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15892799,NONE,GSE156728,0,
