geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,data_processing,platform_id,contact_name,contact_email,contact_phone,contact_laboratory,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
GSM4929855,NPC_SC_1810_PBMC_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1810_PBMC,Homo sapiens,9606,subject/sample id: 1810,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874514,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929855/suppl/GSM4929855_NPC_SC_1810_PBMC_count.csv.gz,GSE162025,0
GSM4929856,NPC_SC_1810_Tumor_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1810_Tumor,Homo sapiens,9606,subject/sample id: 1810,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874513,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929856/suppl/GSM4929856_NPC_SC_1810_Tumor_count.csv.gz,GSE162025,0
GSM4929857,NPC_SC_1811_PBMC_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1811_PBMC,Homo sapiens,9606,subject/sample id: 1811,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874512,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929857/suppl/GSM4929857_NPC_SC_1811_PBMC_count.csv.gz,GSE162025,0
GSM4929858,NPC_SC_1811_Tumor_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1811_Tumor,Homo sapiens,9606,subject/sample id: 1811,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874510,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929858/suppl/GSM4929858_NPC_SC_1811_Tumor_count.csv.gz,GSE162025,0
GSM4929859,NPC_SC_1813_PBMC_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1813_PBMC,Homo sapiens,9606,subject/sample id: 1813,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874509,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929859/suppl/GSM4929859_NPC_SC_1813_PBMC_count.csv.gz,GSE162025,0
GSM4929860,NPC_SC_1813_Tumor_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1813_Tumor,Homo sapiens,9606,subject/sample id: 1813,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874507,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929860/suppl/GSM4929860_NPC_SC_1813_Tumor_count.csv.gz,GSE162025,0
GSM4929861,NPC_SC_1815_PBMC_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1815_PBMC,Homo sapiens,9606,subject/sample id: 1815,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874506,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929861/suppl/GSM4929861_NPC_SC_1815_PBMC_count.csv.gz,GSE162025,0
GSM4929862,NPC_SC_1815_Tumor_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1815_Tumor,Homo sapiens,9606,subject/sample id: 1815,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874505,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929862/suppl/GSM4929862_NPC_SC_1815_Tumor_count.csv.gz,GSE162025,0
GSM4929863,NPC_SC_1816_PBMC_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1816_PBMC,Homo sapiens,9606,subject/sample id: 1816,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874551,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929863/suppl/GSM4929863_NPC_SC_1816_PBMC_count.csv.gz,GSE162025,0
GSM4929864,NPC_SC_1816_Tumor_cDNA,Public on Nov 24 2020,Nov 23 2020,Nov 24 2020,SRA,1,NPC_SC_1816_Tumor,Homo sapiens,9606,subject/sample id: 1816,polyA RNA,Viable single cells were prepared from the PBMC and tumor of 10 nasopharyngeal carcinoma patients.,Illumina-implemented software bcl2fastq (version v2.19.0.316) was used for basecalling.,GPL20795,"Jin-Xin,,Bei",beijx@sysucc.org.cn,86 020 8734 3189,Bei-lab,Sun Yat-sen University Cancer Center,"651 Dongfeng Road East, Yuexiu District, Guanzhou, P.R. China",Guangzhou,Guangdong,510060,China,HiSeq X Ten,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN16874550,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4929nnn/GSM4929864/suppl/GSM4929864_NPC_SC_1816_Tumor_count.csv.gz,GSE162025,0
