geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_phone,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
GSM3511750,su004_post_Tumor_CD45_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su004,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589766,NONE,GSE123813,0,
GSM3511751,su005_pre_CD45_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su005,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589765,NONE,GSE123813,0,
GSM3511752,su005_pre_Tcell_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su005,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589764,NONE,GSE123813,0,
GSM3511753,su005_pre_Tumor_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su005,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589763,NONE,GSE123813,0,
GSM3511754,su005_post_Tcell_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su005,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589762,NONE,GSE123813,0,
GSM3511755,su005_post_Tumor_CD45_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su005,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589700,NONE,GSE123813,0,
GSM3511756,su006_pre_CD45_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su006,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589698,NONE,GSE123813,0,
GSM3511757,su006_pre_Tcell_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su006,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589697,NONE,GSE123813,0,
GSM3511758,su006_pre_Tumor_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su006,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589696,NONE,GSE123813,0,
GSM3511759,su006_post_CD45_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su006,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589695,NONE,GSE123813,0,
GSM3511760,su006_post_Tcell_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su006,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589694,NONE,GSE123813,0,
GSM3511761,su006_post_Tumor_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su006,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589693,NONE,GSE123813,0,
GSM3511762,su007_pre_Tcell_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su007,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589692,NONE,GSE123813,0,
GSM3511763,su007_pre_Tumor_CD45_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su007,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589691,NONE,GSE123813,0,
GSM3511764,su007_post_All_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su007,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589690,NONE,GSE123813,0,
GSM3511765,su008_pre_CD45_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su008,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL18573,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589689,NONE,GSE123813,0,
GSM3511766,su008_pre_Tcell_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su008,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL18573,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589688,NONE,GSE123813,0,
GSM3511767,su008_pre_Tumor_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su008,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL18573,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589687,NONE,GSE123813,0,
GSM3511768,su008_post_Tumor_CD45_RNA,Public on May 24 2019,Dec 13 2018,May 24 2019,SRA,1,Basal cell carinoma tumor,Homo sapiens,9606,donor: su008,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10589686,NONE,GSE123813,0,
GSM3721445,su003_post1_Tcell_CD45_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Basal cell carcinoma tumor,Homo sapiens,9606,donor: su003,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407126,NONE,GSE123813,0
GSM3721446,su003_post1_Tumor_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Basal cell carcinoma tumor,Homo sapiens,9606,donor: su003,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407125,NONE,GSE123813,0
GSM3721447,su008_post_Tcell_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Basal cell carcinoma tumor,Homo sapiens,9606,donor: su008,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407849,NONE,GSE123813,0
GSM3721448,su009_post_Tcell_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Basal cell carcinoma tumor,Homo sapiens,9606,donor: su009,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407848,NONE,GSE123813,0
GSM3721449,su009_pre_Tcell_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Basal cell carcinoma tumor,Homo sapiens,9606,donor: su009,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407847,NONE,GSE123813,0
GSM3721450,su010_post_BCC_Tcell_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Basal cell carcinoma tumor,Homo sapiens,9606,donor: su010,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407846,NONE,GSE123813,0
GSM3721451,su010_post_SCC_CD39_Tcell_RNA,Public on May 24 2019,Apr 12 2019,May 24 2019,SRA,1,Squamous cell carcinoma tumor,Homo sapiens,9606,donor: su010,N/A,polyA RNA,10X Genomics Single Cell 5' Library & Gel Bead Kit,5' gene expression library (10X Genomics),"Processed with cellranger pipeline, version 2.1.0",GPL20301,"Howard,Y,Chang",howchang@stanford.edu,650-725-7022,Howard Y. Chang,Center for Personal Dynamic Regulomes,Stanford University,"CCSR 2130, 269 Campus Drive",Stanford,CA,94305,USA,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11407845,NONE,GSE123813,0
